objectid,filename,youtubeid,vimeoid,composer,arranger,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,archive_location,condition
musser1,,,,,,Set of IMSO Manuscript Books from Millersville,Judson Brill,1910-10-14,Set of IMSO Manuscript Books from Millersville signed by C.O. Musser,sheetmusic;marimba,,,,Musser Collection; Dana Kimble; Wells-Rapp Center for Mallet Percussion Reseach Archives,1.6.11.1,Image;Sheetmusic,image;jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,FC1_1,OK
musser2,,,,,,Marimba Melody Maids Folder,Judson Brill,,Assorted Music For Marimba,sheetmusic;marimba,,,,Musser Collection; Dana Kimble; Wells-Rapp Center for Mallet Percussion Reseach Archives,1.6.12,Image;Sheetmusic,image;jpeg,eng,,,FC1_1,Missing
musser3,,,,,,Unidentified Music Folder of Marimba Music,Judson Brill,,,sheetmusic;marimba,,,,Musser Collection; Dana Kimble; Wells-Rapp Center for Mallet Percussion Reseach Archives,1.6.13,Image;Sheetmusic,image;jpeg,eng,,,FC1_1,OK
musser4,,,,,,Allegro Caprice,Judson Brill,,"By Coleridge-Taylor; Arr. Musser, for Marimba Orchestra",sheetmusic;marimba,,,,Musser Collection; Dana Kimble; Wells-Rapp Center for Mallet Percussion Reseach Archives,1.6.14,Image;Sheetmusic,image;jpeg,eng,,,FC1_1,OK
musser5,,,,,,"Anvil Chrous from ""Il Trovatore""",Judson Brill,,"No Score, Arr. Clair Omar Musser for Marimba Orchestra",sheetmusic;marimba,,,,Musser Collection; Dana Kimble; Wells-Rapp Center for Mallet Percussion Reseach Archives,1.6.15,Image;Sheetmusic,image;jpeg,eng,,,FC1_1,Missing
musser6,,,,,,Artists Life,Judson Brill,1951-06-25,"by Strauss, Arr. Clair Omar Musser for Five Part Marimba Orchestra",sheetmusic;marimba,,,,Musser Collection; Dana Kimble; Wells-Rapp Center for Mallet Percussion Reseach Archives,1.6.16,Image;Sheetmusic,image;jpeg,eng,,,FC1_1,OK
musser7,,,,,,Bach Concerto in E minor,Judson Brill,,"By Bach, Arr. Clair Omar Musser For Marimba and Orchestra 
manuscript score, Solo marimba part (Mvt. II), Violin I (all Mvts)
",sheetmusic;marimba,,,,Musser Collection; Dana Kimble; Wells-Rapp Center for Mallet Percussion Reseach Archives,1.6.17.1,Image;Sheetmusic,image;jpeg,eng,,,FC1_1,Missing
musser8,,,,,,Bach Concerto in E Major,Judson Brill,,"For Marimba and Orchestra 
Manuscript Score
Incomplete Set of Parts",sheetmusic;marimba,,,,Musser Collection; Dana Kimble; Wells-Rapp Center for Mallet Percussion Reseach Archives,1.6.18,Image;Sheetmusic,image;jpeg,eng,,,FC1_1,OK
musser9,,,,,,Caprice Viennoise,Judson Brill,,"By Musser
Strings, Harp
No Score ",sheetmusic;marimba,,,,Musser Collection; Dana Kimble; Wells-Rapp Center for Mallet Percussion Reseach Archives,1.6.19.1,Image;Sheetmusic,image;jpeg,eng,,,FC1_1,OK
musser10,,,,,,Carioca & Siboney,Judson Brill,,"For Marimba Orchestra
5 Part Score, 
Parts: Mar. 1 and CB
Percussion Ensemble , by Clair Omar Musser",sheetmusic;marimba,,,,Musser Collection; Dana Kimble; Wells-Rapp Center for Mallet Percussion Reseach Archives,1.6.20.1,Image;Sheetmusic,image;jpeg,eng,,,FC1_1,OK
