objectid,identifier,Composer,Arranger,Filename,Title,Creator,Date,Description,Subject,Location,Source,Format Original,Format,Type,Language,Rights,Rights Statement,Archive Location,Condition
Musser0,1.6.11.1,,,,Set of IMSO Manuscript Books from Millersville,Judson Brill,,Set of IMSO Manuscript Books from Millersville signed by C.O. Musser,,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
Musser1,1.6.12,,,,Marimba Melody Maids Folder,Judson Brill,,Assorted Music For Marimba,,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,Missing
Musser2,1.6.13,,,,Unidentified Music Folder of Marimba Music,Judson Brill,,,,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
Musser3,1.6.14,,,,Allegro Caprice,Judson Brill,,"By Coleridge-Taylor; Arr. Musser, for Marimba Orchestra",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
Musser4,1.6.15,,,,"Anvil Chrous from ""Il Trovatore""",Judson Brill,6/25/51,"No Score, Arr. Clair Omar Musser for Marimba Orchestra",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,Missing
Musser5,1.6.16,,,,Artists Life,Judson Brill,,"by Strauss, Arr. Clair Omar Musser for Five Part Marimba Orchestra",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
Musser6,1.6.17.1,,,,Bach Concerto in E minor,Judson Brill,,"By Bach, Arr. Clair Omar Musser For Marimba and Orchestra 
manuscript score, Solo marimba part (Mvt. II), Violin I (all Mvts)
",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,Missing
Musser7,1.6.18,,,,Bach Concerto in E Major,Judson Brill,,"For Marimba and Orchestra 
Manuscript Score
Incomplete Set of Parts",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
Musser8,1.6.19.1,,,,Caprice Viennoise,Judson Brill,,"By Musser
Strings, Harp
No Score ",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
Musser9,1.6.20.1,,,,Carioca & Siboney,Judson Brill,,"For Marimba Orchestra
5 Part Score, 
Parts: Mar. 1 and CB
Percussion Ensemble , by Clair Omar Musser",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
Musser10,1.6.21.1,,,,Carmen for Marimba Orchestra,Judson Brill,,"Arr. Clair Omar Musser, Marimba Orchestra, Contrabass Part",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
Musser11,1.6.22.1,,,,Clair de Lune,Erin Philips,,"Claude Debussy, Arr. Clair Omar Musser for Marimba Orchestra",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
Musser12,1.6.23.1,,,,"Concert for Marimba, Op. 21",Erin Philips,,"By Paul Creston, Full Manuscript Score, Piano/Marimba Score, Solo marimba Part, Owned by Clair Omar Musser",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
Musser13,1.6.24.1,,,,Concerto in F,Erin Philips,,"By Gershwin, Arr. Clair Omar Musser, 3-Mallet Marimba solo part for Mvt. III, No Score",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
Musser14,1.6.25.1,,,,Concerto in G minor,Erin Philips,,"By Saint-Saens, Arr. Musser, For Marimba Orchestra, 5-parts + Conrabass, Socre says: Second Concerto",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
Musser15,1.6.26.1,,,,Danse de la Chevre,Judson Brill,,"By Honegger, Arr. Musser, For 2-Malelt Marimba and Piano",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
Musser16,1.6.27.1,,,,Dance of the Comedians,Judson Brill,,"By Smetana, Arr. Musser, For Marimba Orchestra",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
Musser17,1.6.28.1,,,,Down Home Rag,Judson Brill,,"By Wilber C. Sweatman, For Small Orchestra, Signed by Vera McNary",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
Musser18,1.6.29.1,,,,Emperor Waltz,Judson Brill,,"Strauss, Arr. Musser, For Marimba Orchestra",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
Musser19,1.6.30.1,,,,"Etude, Op.6, No.10",Judson Brill,,"By Clair Omar Musser, For Solo Marimba, Published by Gamble Hinged Music Inc. ",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
Musser20,1.6.31.1,,,,Etude in C Major,Judson Brill,,"For 2-Mallet Marimba and Full Orchestra/Piano
From Kansas City Philharmonic
""For Vera McNary""
Solo Marimba Part with Piano 
Full Orchestra Score
Full set of Orchestra Parts",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
Musser21,1.6.32.1,,,,"Etude, Op.10, No.6",Judson Brill,,"By Chopin, Arr. Musser
For Marimba",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
Musser22,1.6.33,,,,"Etude, Op.18 No.10",Judson Brill,,"Ferdinand Turini, Transcribed by Musser
Solo Marimba",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
Musser23,1.6.34,,,,"Etude, Op.11,No. 4",Judson Brill,October 1954,"By Clair Omar Musser, For Solo Marimba",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
Musser24,1.6.35,,,,"Etude, Op.17, No. 2",Judson Brill,,"By Clair Omar Musser, For Solo Marimba, Unpublished",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,Unpublished?,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
Musser25,1.6.36,,,,Finlandia,Judson Brill,,"Folder Containing  Manuscript of Finlandia by Sibelius, Arr. Musser for Marimba Orchestra and Published version from 1941",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
Musser26,1.6.37,,,,Folio of Manuscripts,Judson Brill,,"IMSO Music, ""Sibooney"", Musser's Sketches for Concerto in E Minor (4 - Movements)",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,Missing
Musser27,1.6.38,,,,Folio of IMSO Music,Judson Brill,,IMSO Music including God Save the King,,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,Missing
Musser28,1.6.39.1,,,,Contrabass Marimba Folder,Judson Brill,,"-Carmen
-Carioca
-Pomp and Circumstance
-Franck Symphony
-Largo from New World Symphony
-Perpetual Motion
-Siboney
-Artist's Life
-The Emperor Waltz
-Andante from Tchaik Symphony No. 5",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
Musser29,1.6.40.1,,,,Greensleeves,Judson Brill,,"Musser, 4-Mallet Marimba",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
Musser30,1.6.41.1,,,,Il Trovatore,Judson Brill,,"Verdi, Arr. Musser
For Marimba Orchestra
Manuscript Score",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
Musser31,1.6.42.1,,,,In a Monastery Garden,Judson Brill,,"Ketelbey, arr. Musser
Marimba 2 and 3 Part",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
Musser32,1.6.43.1,,,,Jealosie,Judson Brill,,"4-Mallet Marimba Solo
Reverse Negative Copy",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
Musser33,1.6.44.1,,,,"Jesu, Joy of Man's Desiring",Judson Brill,1944,Bach/Arr. Musser,,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
Musser34,1.6.45.1,,,,Kammenoi-Ostrow,Judson Brill,,"Clair Omar Musser
4-Mallet Marimba SoloRubenstein/ Arr. Musser
Marimba Orchestra
Manuscript Score",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
Musser35,1.6.46.1,,,,Melody in F,Judson Brill,,"Clair Omar Musser
4-Mallet Marimba Solo",,Archive Storage; File Cabinet 1,"Kimble, Dana","Music, Sheet",,,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Archive Storage Room in Wells-Rapp Center for Mallet Percussion Research,OK
